target,target_label,model,n,n_groups,rmse_mean,rmse_std,mae_mean,mae_std,r2_mean,r2_std,features,delta_r2_over_lexical,model_label
log_ffd,First fixation duration,lexical_plus_all,472144,588,0.4275046502832952,0.0004921202774587,0.3196430469120346,0.000230433347502,0.0049890376949567,0.0011502725949753,word_len | zipf_freq | sent_len | is_sent_initial | is_sent_final | prev_word_len | prev_zipf_freq | ar_surprisal_gpt2 | mlm_pseudo_surprisal_bert_base_uncased | mlm_pseudo_surprisal_roberta_base,0.0002661934016731,All surprisal
log_gd,Gaze duration,lexical_plus_all,472144,588,0.4596614563899663,0.0017692697757997,0.3470654230002358,0.0013249247065116,0.0391756890289293,0.0037196973110964,word_len | zipf_freq | sent_len | is_sent_initial | is_sent_final | prev_word_len | prev_zipf_freq | ar_surprisal_gpt2 | mlm_pseudo_surprisal_bert_base_uncased | mlm_pseudo_surprisal_roberta_base,0.0021302641070077,All surprisal
log_gpt,Go-past time,lexical_plus_all,472144,588,0.6034269905763127,0.0010600228646775,0.4431326848534425,0.0012894631967438,0.0396140504870886,0.0026291731474602,word_len | zipf_freq | sent_len | is_sent_initial | is_sent_final | prev_word_len | prev_zipf_freq | ar_surprisal_gpt2 | mlm_pseudo_surprisal_bert_base_uncased | mlm_pseudo_surprisal_roberta_base,0.0028233469331578,All surprisal
log_trt,Total reading time,lexical_plus_all,472144,588,0.5131360867825164,0.0013511333649269,0.3932934208450872,0.0013019571084749,0.0646233587716276,0.0055776044754913,word_len | zipf_freq | sent_len | is_sent_initial | is_sent_final | prev_word_len | prev_zipf_freq | ar_surprisal_gpt2 | mlm_pseudo_surprisal_bert_base_uncased | mlm_pseudo_surprisal_roberta_base,0.0049683411490019,All surprisal
